taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces	0	0.000051379382974265504	28	0.06666666666666667	0.33131313131313134	2.0994136740358043	Streptomyces
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14	0	0.000044494820513864614	31	0.07407407407407407	0.35729847494553374	1.9430332410952194	SH-PL14
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Incertae_Sedis	0	0.00005621402316962285	31	0.07407407407407407	0.35729847494553374	2.1999057586543156	Sutterellaceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus	0.000011905476210752142	0.00008026498431069644	32	0.08333333333333333	0.3744292237442922	1.7998303965910243	Cupriavidus
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium_PCC-6307	0	0.00002858849704711008	31.5	0.08333333333333333	0.3744292237442922	1.49979960107894	Cyanobium PCC-6307
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Incertae_Sedis	0	0.000040382082949472575	31.5	0.08333333333333333	0.3744292237442922	1.8408263666400924	Gemmataceae (Incertae Sedis)
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;__	0	0.00022507335187190884	31.5	0.08333333333333333	0.3744292237442922	3.94409617722815	Paracoccaceae (family)
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	0.00031461608931660005	0	15	0.08333333333333333	0.3744292237442922	-4.400366913578716	Variovorax
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0.03131891867970718	0.010006110606151076	13	0.08970616024187453	0.3974082030473008	-1.6446202375859948	Hungatella
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;__	0.0001283482592164367	0.000015225721318547466	18.5	0.09166666666666666	0.3974082030473008	-2.2219131180841534	Rhizobiaceae (family)
