#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
4cbfff144d4e7a4e0f4619ed505be070	0	0	0	0	494	0	841	772	2935	274	124	132	45	279	265	1183	93	67	0	116	535	680	497	1318	68	2494	948	0	59	0	371	2001	0	165	0	4676
7e672a9ad0118797d06bf4e71503b9c2	0	0	0	0	26	85	0	5802	743	0	530	0	0	215	97	81	0	1250	18	38	0	3979	357	38	152	0	43	263	0	619	0	1477	0	1807	0	0
f6784fa3dc7fb33c03526abc21c3bdac	0	0	0	0	485	0	0	299	0	0	63	0	0	48	0	0	210	304	0	0	0	1646	0	218	1816	0	121	0	0	10182	0	1400	0	0	0	0
ecc423b8fefd03a92aa1a97fc74a654c	0	0	0	0	60	0	0	207	1644	0	0	26	0	0	2302	213	0	7	0	310	1344	291	0	2057	1389	867	0	0	12	4417	360	525	0	423	0	0
8646bffa210e3f061cc57f1b1cf2f751	0	0	0	0	737	0	392	2349	0	0	251	0	0	281	0	2566	0	37	0	0	4092	320	68	0	0	1550	754	46	0	0	2352	28	0	0	0	0
5c60f84b3d868e8544e0b7805e20ae77	0	0	0	0	0	0	0	0	0	0	0	644	0	0	11411	0	0	0	5	1111	0	24	0	2479	0	0	3	0	0	0	0	6	0	16	0	0
fce8370d8fc25a44614e939f31a3efd6	0	0	0	0	339	0	1872	361	0	34	126	0	0	47	0	1131	203	0	0	0	2731	924	0	59	0	3146	375	0	0	0	640	24	0	0	0	1957
3d5baff45729bf2214074c2e9f77ad10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	249	0	0	0	78	723	0	0	0	0	5931	0	0	0	0	6709	0	0	0	73	8
2c73db9e85fe1ace4b0ed52547c25f7d	0	0	0	0	0	203	0	786	3009	0	332	3272	0	553	92	0	53	666	164	178	0	220	761	194	0	0	122	460	0	0	0	334	0	702	0	0
aad5a694c19c776cb450da1720f22050	0	0	0	0	696	0	0	3346	0	0	687	0	0	274	0	0	313	62	0	129	0	2560	92	0	386	0	1327	242	0	14	0	1824	0	0	0	107
d33a7aabcdc1e0333098f947030dce15	0	0	0	0	758	0	0	3489	0	0	107	0	0	113	0	0	274	153	0	0	0	2747	227	0	0	0	1878	317	0	0	0	1784	0	0	0	0
da8644094f1d480f3b3a6a03a7027ab4	0	0	0	0	1048	0	932	2214	14	0	69	380	0	100	1578	0	0	0	0	128	0	154	0	3477	0	0	0	0	0	0	0	0	0	16	0	1496
0a2709e496b6060ed493b17534a59cb6	0	0	0	0	0	6975	0	0	99	0	0	0	0	0	0	0	0	0	550	186	0	0	0	23	0	0	0	0	3661	0	0	0	0	91	0	0
753e16928f79c003e1a4b47b86bdaf3e	0	0	0	0	121	0	0	381	0	0	35	0	0	35	0	0	132	162	0	0	0	1106	18	136	1102	0	102	0	0	6467	0	687	0	17	0	0
38ae5ca97f7847f0cc50ead5e10fbc8b	0	0	0	0	452	0	148	848	19	141	936	190	62	167	73	21	243	412	15	276	33	213	533	688	388	131	2032	377	0	38	293	848	0	43	0	57
945184b6386c192c0066e0a98a154780	0	0	0	0	0	0	3559	0	0	3017	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	495
d66a57b9db06f512e9c5f5e353a5a3dc	0	0	0	0	176	43	0	53	37	0	57	848	0	0	284	317	78	73	167	459	126	20	77	1978	109	89	201	37	1203	257	28	96	0	173	0	69
d2025a2475c8b407040a53edcf2f4d0a	0	0	0	0	435	0	1004	360	0	0	0	0	22	0	0	290	0	0	0	0	347	369	0	0	0	71	131	0	0	0	136	269	0	0	93	3055
16da9716b4d7c3c9c904f3f799d67dfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	336	0	0	0	0	2161	0	0	0	0	3695	0	0	0	0	3
a1d83433e07f97fd446f7ff512e44fc6	0	0	0	0	257	0	0	1509	0	0	23	13	0	7	1506	0	62	18	0	307	0	571	19	113	37	0	387	0	0	348	0	526	0	0	0	0
44638281c0a8a53e37d1e4ef31260791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	801	0	0	0	0	0	4081
b21f8cd99a1ca2af3f89fd2faf0ce13e	0	0	0	0	0	0	0	209	0	0	0	37	0	0	2816	0	0	0	0	183	0	84	0	24	0	18	17	0	0	0	978	169	0	0	44	0
9908fffab7ed4f3bec44cda2f5084d49	0	0	0	0	35	25	211	10	0	18	0	30	0	0	417	311	0	0	9	52	522	0	0	1017	0	352	0	0	0	0	289	0	0	0	0	1226
6f70e55b156946c55069e3f450ffaf84	0	0	0	0	0	1587	0	0	0	0	0	0	0	0	0	0	0	0	1049	32	0	0	0	0	0	0	0	0	1798	0	0	0	0	0	0	0
859576da50cf3142bbd269f87b2545c1	0	0	0	0	318	3	274	445	0	0	30	473	0	74	41	0	19	23	0	22	0	722	33	438	0	0	416	0	0	0	9	124	0	41	0	509
9acb555d3c5dd77e9035a661e7ad1bb6	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	3452	0	0	0	0	0	0	0
10b890326e2b0b15509aefb95d0d6b79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	55	0	0	0	0	1115	0	0	0	0	2308	0	0	0	0	0
