	SubjectID1	SubjectID2	Group1	Group2	Distance
200	SS076	SS066	Muck	Sterile	0.7132
201	SS076	SS070	Muck	Sterile	0.607
202	SS076	SS071	Muck	Sterile	0.835
203	SS076	SS075	Muck	Sterile	0.692
204	SS076	SS078	Muck	Sterile	0.6324
205	SS076	SS082	Muck	Sterile	0.5262
206	SS076	SS083	Muck	Sterile	0.807
207	SS076	SS087	Muck	Sterile	0.7006
208	SS076	SS094	Muck	Sterile	0.808
209	SS090	SS004	Muck	Sterile	0.7434
210	SS090	SS016	Muck	Sterile	0.729
211	SS090	SS023	Muck	Sterile	0.8612
212	SS090	SS031	Muck	Sterile	0.7904
213	SS090	SS043	Muck	Sterile	0.8294
214	SS090	SS047	Muck	Sterile	0.7784
215	SS090	SS054	Muck	Sterile	0.4602
216	SS090	SS059	Muck	Sterile	0.7812
217	SS090	SS063	Muck	Sterile	0.8208
218	SS090	SS066	Muck	Sterile	0.708
219	SS090	SS070	Muck	Sterile	0.5168
220	SS090	SS071	Muck	Sterile	0.8378
221	SS090	SS075	Muck	Sterile	0.737
222	SS090	SS078	Muck	Sterile	0.537
223	SS090	SS082	Muck	Sterile	0.5222
224	SS090	SS083	Muck	Sterile	0.8176
225	SS090	SS087	Muck	Sterile	0.7256
226	SS090	SS094	Muck	Sterile	0.8428
227	SS095	SS004	Muck	Sterile	0.4682
228	SS095	SS016	Muck	Sterile	0.5946
229	SS095	SS023	Muck	Sterile	0.8158
230	SS095	SS031	Muck	Sterile	0.8512
231	SS095	SS043	Muck	Sterile	0.6554
232	SS095	SS047	Muck	Sterile	0.3836
233	SS095	SS054	Muck	Sterile	0.9686
234	SS095	SS059	Muck	Sterile	0.4074
235	SS095	SS063	Muck	Sterile	0.4626
236	SS095	SS066	Muck	Sterile	0.6248
237	SS095	SS070	Muck	Sterile	0.8654
238	SS095	SS071	Muck	Sterile	0.4138
239	SS095	SS075	Muck	Sterile	0.662
240	SS095	SS078	Muck	Sterile	0.9724
241	SS095	SS082	Muck	Sterile	0.8764
242	SS095	SS083	Muck	Sterile	0.5172
243	SS095	SS087	Muck	Sterile	0.4618
244	SS095	SS094	Muck	Sterile	0.9268
0	SS055	SS051	Newborn	Newborn	0.6994
1	SS051	SS007	Newborn	Muck	0.8876
2	SS051	SS011	Newborn	Muck	0.591
3	SS051	SS019	Newborn	Muck	0.7984
4	SS051	SS028	Newborn	Muck	0.7196
5	SS051	SS040	Newborn	Muck	0.701
6	SS051	SS052	Newborn	Muck	0.6726
7	SS051	SS064	Newborn	Muck	0.7038
8	SS051	SS076	Newborn	Muck	0.6432
9	SS051	SS090	Newborn	Muck	0.742
10	SS051	SS095	Newborn	Muck	0.6306
11	SS055	SS007	Newborn	Muck	0.7504
12	SS055	SS011	Newborn	Muck	0.8418
13	SS055	SS019	Newborn	Muck	0.5276
14	SS055	SS028	Newborn	Muck	0.7144
15	SS055	SS040	Newborn	Muck	0.5686
16	SS055	SS052	Newborn	Muck	0.635
17	SS055	SS064	Newborn	Muck	0.6222
18	SS055	SS076	Newborn	Muck	0.5678
19	SS055	SS090	Newborn	Muck	0.5998
20	SS055	SS095	Newborn	Muck	0.8178
21	SS051	SS004	Newborn	Sterile	0.4366
22	SS051	SS016	Newborn	Sterile	0.411
23	SS051	SS023	Newborn	Sterile	0.645
24	SS051	SS031	Newborn	Sterile	0.7688
25	SS051	SS043	Newborn	Sterile	0.6402
26	SS051	SS047	Newborn	Sterile	0.5538
27	SS051	SS054	Newborn	Sterile	0.9164
28	SS051	SS059	Newborn	Sterile	0.604
29	SS051	SS063	Newborn	Sterile	0.3928
30	SS051	SS066	Newborn	Sterile	0.5964
31	SS051	SS070	Newborn	Sterile	0.7952
32	SS051	SS071	Newborn	Sterile	0.6598
33	SS051	SS075	Newborn	Sterile	0.3652
34	SS051	SS078	Newborn	Sterile	0.9252
35	SS051	SS082	Newborn	Sterile	0.8102
36	SS051	SS083	Newborn	Sterile	0.6932
37	SS051	SS087	Newborn	Sterile	0.3684
38	SS051	SS094	Newborn	Sterile	0.9308
39	SS055	SS004	Newborn	Sterile	0.7288
40	SS055	SS016	Newborn	Sterile	0.6816
41	SS055	SS023	Newborn	Sterile	0.783
42	SS055	SS031	Newborn	Sterile	0.5806
43	SS055	SS043	Newborn	Sterile	0.6556
44	SS055	SS047	Newborn	Sterile	0.7544
45	SS055	SS054	Newborn	Sterile	0.804
46	SS055	SS059	Newborn	Sterile	0.779
47	SS055	SS063	Newborn	Sterile	0.8094
48	SS055	SS066	Newborn	Sterile	0.6138
49	SS055	SS070	Newborn	Sterile	0.696
